pid,technique,granularity,language,time,accuracy
P08,TRADITIONAL,phrase,Latin,8.833,1
P08,TRADITIONAL,phrase,English,21.975,1
P08,TRADITIONAL,sentence,Latin,8.063,1
P08,TRADITIONAL,sentence,English,10.537,1
P08,AUTOCOMPASTE,paragraph,Latin,15.669,1
P08,AUTOCOMPASTE,paragraph,English,22.232,1
P08,AUTOCOMPASTE,phrase,Latin,16.157,1
P08,AUTOCOMPASTE,phrase,English,10.703,1
P08,AUTOCOMPASTE,sentence,Latin,7.491,1
P08,AUTOCOMPASTE,sentence,English,4.743,1
P08,TRADITIONAL,paragraph,Latin,5.964,1
P08,TRADITIONAL,paragraph,English,12.092,1
P08,TRADITIONAL,phrase,Latin,11.315,1
P08,TRADITIONAL,phrase,English,4.828,1
P08,TRADITIONAL,sentence,Latin,9.588,1
P08,TRADITIONAL,sentence,English,24.484,1
P08,AUTOCOMPASTE,paragraph,Latin,25.706,1
P08,AUTOCOMPASTE,paragraph,English,13.536,1
P08,AUTOCOMPASTE,phrase,Latin,11.963,1
P08,AUTOCOMPASTE,phrase,English,9.996,1
P08,AUTOCOMPASTE,sentence,Latin,5.432,1
P08,AUTOCOMPASTE,sentence,English,5.29,1
P08,TRADITIONAL,paragraph,Latin,14.652,1
P08,TRADITIONAL,paragraph,English,6.986,1
P08,TRADITIONAL,phrase,Latin,9.474,1
P08,TRADITIONAL,phrase,English,14.588,1
P08,TRADITIONAL,sentence,Latin,5.352,1
P08,TRADITIONAL,sentence,English,9.423,1
P08,AUTOCOMPASTE,paragraph,Latin,14.657,1
P08,AUTOCOMPASTE,paragraph,English,19.016,1
P08,AUTOCOMPASTE,phrase,Latin,10.248,1
P08,AUTOCOMPASTE,phrase,English,22.144,1
P08,AUTOCOMPASTE,sentence,Latin,7.576,1
P08,AUTOCOMPASTE,sentence,English,3.646,1
P08,TRADITIONAL,paragraph,Latin,7.336,1
P08,TRADITIONAL,paragraph,English,7.586,1
P08,TRADITIONAL,phrase,Latin,8.153,1
P08,TRADITIONAL,phrase,English,9.14,1
P08,TRADITIONAL,sentence,Latin,15.6,1
P08,TRADITIONAL,sentence,English,12.545,1
P08,AUTOCOMPASTE,paragraph,Latin,28.444,1
P08,AUTOCOMPASTE,paragraph,English,16.132,1
P08,AUTOCOMPASTE,phrase,Latin,11.869,1
P08,AUTOCOMPASTE,phrase,English,11.457,1
P08,AUTOCOMPASTE,sentence,Latin,4.426,1
P08,AUTOCOMPASTE,sentence,English,7.176,1
P08,TRADITIONAL,paragraph,Latin,18.648,1
P08,TRADITIONAL,paragraph,English,11.76,1
P08,TRADITIONAL,phrase,Latin,19.493,1
P08,TRADITIONAL,phrase,English,5.614,1
P08,TRADITIONAL,sentence,Latin,14.173,1
P08,TRADITIONAL,sentence,English,12.805,1
P08,AUTOCOMPASTE,paragraph,Latin,17.079,1
P08,AUTOCOMPASTE,paragraph,English,16.098,1
P08,AUTOCOMPASTE,phrase,Latin,14.398,1
P08,AUTOCOMPASTE,phrase,English,19.421,1
P08,AUTOCOMPASTE,sentence,Latin,6.365,1
P08,AUTOCOMPASTE,sentence,English,5.526,1
P09,TRADITIONAL,phrase,English,10.737,1
P09,TRADITIONAL,phrase,Latin,27.488,1
P09,TRADITIONAL,sentence,English,8.387,1
P09,TRADITIONAL,sentence,Latin,17.192,1
P09,TRADITIONAL,paragraph,English,59.216,1
P09,TRADITIONAL,paragraph,Latin,7.52,1
P09,AUTOCOMPASTE,phrase,English,6.306,1
P09,AUTOCOMPASTE,phrase,Latin,18.123,1
P09,AUTOCOMPASTE,sentence,English,10.161,1
P09,AUTOCOMPASTE,sentence,Latin,5.459,1
P09,AUTOCOMPASTE,paragraph,English,28.9,1
P09,AUTOCOMPASTE,paragraph,Latin,21.712,1
P09,TRADITIONAL,phrase,English,7.667,1
P09,TRADITIONAL,phrase,Latin,10.548,1
P09,TRADITIONAL,sentence,English,17.2,1
P09,TRADITIONAL,sentence,Latin,17.618,1
P09,TRADITIONAL,paragraph,English,7.496,1
P09,TRADITIONAL,paragraph,Latin,7.745,1
P09,AUTOCOMPASTE,phrase,English,8.029,1
P09,AUTOCOMPASTE,phrase,Latin,7.021,1
P09,AUTOCOMPASTE,sentence,English,5.182,1
P09,AUTOCOMPASTE,sentence,Latin,4.901,1
P09,AUTOCOMPASTE,paragraph,English,14.513,1
P09,AUTOCOMPASTE,paragraph,Latin,12.51,1
P09,TRADITIONAL,phrase,English,22.639,1
P09,TRADITIONAL,phrase,Latin,12.239,1
P09,TRADITIONAL,sentence,English,5.081,1
P09,TRADITIONAL,sentence,Latin,28.127,1
P09,TRADITIONAL,paragraph,English,14.45,1
P09,TRADITIONAL,paragraph,Latin,5.36,1
P09,AUTOCOMPASTE,phrase,English,6.301,1
P09,AUTOCOMPASTE,phrase,Latin,7.254,1
P09,AUTOCOMPASTE,sentence,English,4.657,1
P09,AUTOCOMPASTE,sentence,Latin,6.669,1
P09,AUTOCOMPASTE,paragraph,English,9.892,1
P09,AUTOCOMPASTE,paragraph,Latin,17.722,1
P09,TRADITIONAL,phrase,English,11.049,1
P09,TRADITIONAL,phrase,Latin,11.799,1
P09,TRADITIONAL,sentence,English,17.743,1
P09,TRADITIONAL,sentence,Latin,10.612,1
P09,TRADITIONAL,paragraph,English,7.196,1
P09,TRADITIONAL,paragraph,Latin,8.562,1
P09,AUTOCOMPASTE,phrase,English,7.759,1
P09,AUTOCOMPASTE,phrase,Latin,6.687,1
P09,AUTOCOMPASTE,sentence,English,4.706,1
P09,AUTOCOMPASTE,sentence,Latin,4.077,1
P09,AUTOCOMPASTE,paragraph,English,9.546,1
P09,AUTOCOMPASTE,paragraph,Latin,16.27,1
P09,TRADITIONAL,phrase,English,27.669,1
P09,TRADITIONAL,phrase,Latin,13.147,1
P09,TRADITIONAL,sentence,English,23.139,1
P09,TRADITIONAL,sentence,Latin,5.608,1
P09,TRADITIONAL,paragraph,English,16.159,1
P09,TRADITIONAL,paragraph,Latin,6.626,1
P09,AUTOCOMPASTE,phrase,English,5.025,1
P09,AUTOCOMPASTE,phrase,Latin,8.385,1
P09,AUTOCOMPASTE,sentence,English,3.969,1
P09,AUTOCOMPASTE,sentence,Latin,7.276,1
P09,AUTOCOMPASTE,paragraph,English,11.34,1
P09,AUTOCOMPASTE,paragraph,Latin,19.427,1
P09,TRADITIONAL,phrase,English,6.804,1
P09,TRADITIONAL,phrase,Latin,8.284,1
P09,TRADITIONAL,sentence,English,18.801,1
P09,TRADITIONAL,sentence,Latin,15.787,1
P09,TRADITIONAL,paragraph,English,9.724,1
P09,TRADITIONAL,paragraph,Latin,7.76,1
P09,AUTOCOMPASTE,phrase,English,5.842,1
P09,AUTOCOMPASTE,phrase,Latin,9.731,1
P09,AUTOCOMPASTE,sentence,English,3.362,1
P09,AUTOCOMPASTE,sentence,Latin,4.152,1
P09,AUTOCOMPASTE,paragraph,English,26.99,1
P09,AUTOCOMPASTE,paragraph,Latin,6.966,1
P10,TRADITIONAL,phrase,Latin,14.535,1
P10,TRADITIONAL,phrase,English,11.506,1
P10,TRADITIONAL,sentence,Latin,14.537,1
P10,TRADITIONAL,sentence,English,5.361,1
P10,TRADITIONAL,paragraph,Latin,5.343,1
P10,TRADITIONAL,paragraph,English,4.127,1
P10,AUTOCOMPASTE,phrase,Latin,18.204,1
P10,AUTOCOMPASTE,phrase,English,26.159,1
P10,AUTOCOMPASTE,sentence,Latin,11.326,1
P10,AUTOCOMPASTE,sentence,English,8.536,1
P10,AUTOCOMPASTE,paragraph,Latin,10.594,1
P10,AUTOCOMPASTE,paragraph,English,6.909,1
P10,TRADITIONAL,phrase,Latin,6.739,1
P10,TRADITIONAL,phrase,English,9.027,1
P10,TRADITIONAL,sentence,Latin,13.703,1
P10,TRADITIONAL,sentence,English,8.899,1
P10,TRADITIONAL,paragraph,Latin,3.882,1
P10,TRADITIONAL,paragraph,English,6.249,1
P10,AUTOCOMPASTE,phrase,Latin,22.051,1
P10,AUTOCOMPASTE,phrase,English,10.215,1
P10,AUTOCOMPASTE,sentence,Latin,5.249,1
P10,AUTOCOMPASTE,sentence,English,10.202,1
P10,AUTOCOMPASTE,paragraph,Latin,9.865,1
P10,AUTOCOMPASTE,paragraph,English,5.814,1
P10,TRADITIONAL,phrase,Latin,18.202,1
P10,TRADITIONAL,phrase,English,10.342,1
P10,TRADITIONAL,sentence,Latin,11.026,1
P10,TRADITIONAL,sentence,English,5.466,1
P10,TRADITIONAL,paragraph,Latin,5.037,1
P10,TRADITIONAL,paragraph,English,5.481,1
P10,AUTOCOMPASTE,phrase,Latin,12.193,1
P10,AUTOCOMPASTE,phrase,English,16.341,1
P10,AUTOCOMPASTE,sentence,Latin,5.014,1
P10,AUTOCOMPASTE,sentence,English,3.255,1
P10,AUTOCOMPASTE,paragraph,Latin,4.784,1
P10,AUTOCOMPASTE,paragraph,English,5.868,1
P10,TRADITIONAL,phrase,Latin,12.49,1
P10,TRADITIONAL,phrase,English,5.418,1
P10,TRADITIONAL,sentence,Latin,19.018,1
P10,TRADITIONAL,sentence,English,4.27,1
P10,TRADITIONAL,paragraph,Latin,11.894,1
P10,TRADITIONAL,paragraph,English,11.821,1
P10,AUTOCOMPASTE,phrase,Latin,15.257,1
P10,AUTOCOMPASTE,phrase,English,24.828,1
P10,AUTOCOMPASTE,sentence,Latin,6.474,1
P10,AUTOCOMPASTE,sentence,English,4.878,1
P10,AUTOCOMPASTE,paragraph,Latin,8.521,1
P10,AUTOCOMPASTE,paragraph,English,6.827,1
P10,TRADITIONAL,phrase,Latin,15.462,1
P10,TRADITIONAL,phrase,English,4.364,1
P10,TRADITIONAL,sentence,Latin,4.338,1
P10,TRADITIONAL,sentence,English,14.054,1
P10,TRADITIONAL,paragraph,Latin,3.66,1
P10,TRADITIONAL,paragraph,English,7.066,1
P10,AUTOCOMPASTE,phrase,Latin,12.7,1
P10,AUTOCOMPASTE,phrase,English,21.608,1
P10,AUTOCOMPASTE,sentence,Latin,7.948,1
P10,AUTOCOMPASTE,sentence,English,2.923,1
P10,AUTOCOMPASTE,paragraph,Latin,10.859,1
P10,AUTOCOMPASTE,paragraph,English,4.617,1
P10,TRADITIONAL,phrase,Latin,16.954,1
P10,TRADITIONAL,phrase,English,3.594,1
P10,TRADITIONAL,sentence,Latin,8.055,1
P10,TRADITIONAL,sentence,English,12.756,1
P10,TRADITIONAL,paragraph,Latin,7.355,1
P10,TRADITIONAL,paragraph,English,4.021,1
P10,AUTOCOMPASTE,phrase,Latin,12.51,1
P10,AUTOCOMPASTE,phrase,English,27.158,1
P10,AUTOCOMPASTE,sentence,Latin,6.773,1
P10,AUTOCOMPASTE,sentence,English,5.347,1
P10,AUTOCOMPASTE,paragraph,Latin,22.989,1
P10,AUTOCOMPASTE,paragraph,English,9.489,1
P11,TRADITIONAL,sentence,English,14.483,1
P11,TRADITIONAL,sentence,Latin,5.2,1
P11,TRADITIONAL,paragraph,English,8.308,1
P11,TRADITIONAL,paragraph,Latin,9.497,1
P11,TRADITIONAL,phrase,English,8.254,1
P11,TRADITIONAL,phrase,Latin,13.054,1
P11,AUTOCOMPASTE,sentence,English,17.55,1
P11,AUTOCOMPASTE,sentence,Latin,8.587,1
P11,AUTOCOMPASTE,paragraph,English,12.045,1
P11,AUTOCOMPASTE,paragraph,Latin,16.742,1
P11,AUTOCOMPASTE,phrase,English,8.003,0
P11,AUTOCOMPASTE,phrase,Latin,6.858,0
P11,TRADITIONAL,sentence,English,11.098,1
P11,TRADITIONAL,sentence,Latin,11.647,1
P11,TRADITIONAL,paragraph,English,8.936,1
P11,TRADITIONAL,paragraph,Latin,6.73,1
P11,TRADITIONAL,phrase,English,4.802,1
P11,TRADITIONAL,phrase,Latin,23.309,1
P11,AUTOCOMPASTE,sentence,English,28.883,1
P11,AUTOCOMPASTE,sentence,Latin,8.449,1
P11,AUTOCOMPASTE,paragraph,English,9.857,1
P11,AUTOCOMPASTE,paragraph,Latin,6.178,1
P11,AUTOCOMPASTE,phrase,English,10.642,0
P11,AUTOCOMPASTE,phrase,Latin,7.023,0
P11,TRADITIONAL,sentence,English,6.047,1
P11,TRADITIONAL,sentence,Latin,20.005,1
P11,TRADITIONAL,paragraph,English,19.162,1
P11,TRADITIONAL,paragraph,Latin,12.314,1
P11,TRADITIONAL,phrase,English,6.495,1
P11,TRADITIONAL,phrase,Latin,24.165,1
P11,AUTOCOMPASTE,sentence,English,41.302,1
P11,AUTOCOMPASTE,sentence,Latin,87.919,0
P11,AUTOCOMPASTE,paragraph,English,15.645,1
P11,AUTOCOMPASTE,paragraph,Latin,10.834,1
P11,AUTOCOMPASTE,phrase,English,23.223,0
P11,AUTOCOMPASTE,phrase,Latin,7.794,0
P11,TRADITIONAL,sentence,English,31.637,1
P11,TRADITIONAL,sentence,Latin,16.91,1
P11,TRADITIONAL,paragraph,English,8.568,1
P11,TRADITIONAL,paragraph,Latin,35.047,1
P11,TRADITIONAL,phrase,English,16.3,1
P11,TRADITIONAL,phrase,Latin,14.901,1
P11,AUTOCOMPASTE,sentence,English,6.778,1
P11,AUTOCOMPASTE,sentence,Latin,5.552,1
P11,AUTOCOMPASTE,paragraph,English,26.479,1
P11,AUTOCOMPASTE,paragraph,Latin,25.792,0
P11,AUTOCOMPASTE,phrase,English,9.723,0
P11,AUTOCOMPASTE,phrase,Latin,6.955,0
P11,TRADITIONAL,sentence,English,14.067,1
P11,TRADITIONAL,sentence,Latin,55.016,1
P11,TRADITIONAL,paragraph,English,4.434,1
P11,TRADITIONAL,paragraph,Latin,6.206,1
P11,TRADITIONAL,phrase,English,18.548,1
P11,TRADITIONAL,phrase,Latin,14.809,1
P11,AUTOCOMPASTE,sentence,English,4.657,1
P11,AUTOCOMPASTE,sentence,Latin,7.712,1
P11,AUTOCOMPASTE,paragraph,English,11.904,1
P11,AUTOCOMPASTE,paragraph,Latin,40.845,1
P11,AUTOCOMPASTE,phrase,English,25.883,1
P11,AUTOCOMPASTE,phrase,Latin,16.52,1
P11,TRADITIONAL,sentence,English,5.997,1
P11,TRADITIONAL,sentence,Latin,25.124,1
P11,TRADITIONAL,paragraph,English,8.641,1
P11,TRADITIONAL,paragraph,Latin,6.777,1
P11,TRADITIONAL,phrase,English,4.261,1
P11,TRADITIONAL,phrase,Latin,11.433,1
P11,AUTOCOMPASTE,sentence,English,6.069,1
P11,AUTOCOMPASTE,sentence,Latin,5.18,1
P11,AUTOCOMPASTE,paragraph,English,17.121,1
P11,AUTOCOMPASTE,paragraph,Latin,14.82,1
P11,AUTOCOMPASTE,phrase,English,12.842,1
P11,AUTOCOMPASTE,phrase,Latin,12.923,1
